trial,budget,revision,target,elapsedMs,refineMs,uploadedBytes,networkBytes,count,coverage
0.0,2000000.0,6.0,5.0,3126.0,3096.21,67432448.0,0.0,2000000.0,1.0
1.0,2000000.0,7.0,6.0,3404.0,3354.29,67350528.0,0.0,2000000.0,1.0
2.0,2000000.0,8.0,7.0,3201.0,3153.5,67432448.0,0.0,2000000.0,1.0
3.0,2000000.0,9.0,8.0,3291.0,3216.11,67350528.0,0.0,2000000.0,1.0
4.0,2000000.0,10.0,9.0,3180.0,3102.92,67432448.0,0.0,2000000.0,1.0
5.0,2000000.0,11.0,10.0,3100.0,3066.82,67350528.0,0.0,2000000.0,1.0
6.0,2000000.0,12.0,11.0,3182.0,3145.22,67432448.0,0.0,2000000.0,1.0
7.0,2000000.0,13.0,12.0,3210.0,3176.37,67350528.0,0.0,2000000.0,1.0
8.0,2000000.0,14.0,13.0,3157.0,3091.65,67432448.0,0.0,2000000.0,1.0
9.0,2000000.0,15.0,14.0,3202.0,3174.78,67350528.0,0.0,2000000.0,1.0
10.0,2000000.0,16.0,15.0,3211.0,3182.41,67432448.0,0.0,2000000.0,1.0
11.0,2000000.0,17.0,16.0,3396.0,3332.78,67350528.0,0.0,2000000.0,1.0
12.0,2000000.0,18.0,17.0,3215.0,3188.6,67432448.0,0.0,2000000.0,1.0
13.0,2000000.0,19.0,18.0,3256.0,3225.5,67350528.0,0.0,2000000.0,1.0
14.0,2000000.0,20.0,19.0,3200.0,3171.01,67432448.0,0.0,2000000.0,1.0
15.0,2000000.0,21.0,20.0,3460.0,3427.69,67350528.0,0.0,2000000.0,1.0
16.0,2000000.0,22.0,21.0,3376.0,3339.98,67432448.0,0.0,2000000.0,1.0
17.0,2000000.0,23.0,22.0,3385.0,3348.6,67350528.0,0.0,2000000.0,1.0
18.0,2000000.0,24.0,23.0,3418.0,3383.59,67432448.0,0.0,2000000.0,1.0
19.0,2000000.0,25.0,24.0,3861.0,3791.96,67350528.0,0.0,2000000.0,1.0
