intervalMs,submitMs,count,revision
24.069,24.064,2000000.0,26.0
36.505,36.466,2000000.0,26.0
6.391,6.126,2000000.0,26.0
23.018,22.995,2000000.0,26.0
21.862,21.82,2000000.0,26.0
37.037,37.012,2000000.0,26.0
8.374,8.336,2000000.0,26.0
38.672,38.639,2000000.0,26.0
4.27,2.26,2000000.0,26.0
21.651,14.659,2000000.0,26.0
22.184,19.772,2000000.0,26.0
21.972,21.944,2000000.0,26.0
23.48,23.452,2000000.0,26.0
24.33,24.263,2000000.0,26.0
22.685,21.225,2000000.0,26.0
22.328,22.243,2000000.0,26.0
22.366,22.322,2000000.0,26.0
23.242,23.201,2000000.0,26.0
25.534,25.448,2000000.0,26.0
25.073,25.021,2000000.0,26.0
22.706,19.803,2000000.0,26.0
20.654,20.615,2000000.0,26.0
20.178,20.148,2000000.0,26.0
21.072,21.013,2000000.0,26.0
21.017,20.979,2000000.0,26.0
20.75,20.683,2000000.0,26.0
18.375,12.633,2000000.0,26.0
19.349,19.302,2000000.0,26.0
20.446,20.376,2000000.0,26.0
20.861,20.812,2000000.0,26.0
20.619,16.678,2000000.0,26.0
19.457,19.351,2000000.0,26.0
20.886,20.863,2000000.0,26.0
19.794,18.586,2000000.0,26.0
20.008,19.963,2000000.0,26.0
19.367,19.32,2000000.0,26.0
20.094,20.065,2000000.0,26.0
19.26,19.221,2000000.0,26.0
19.758,19.706,2000000.0,26.0
25.697,25.614,2000000.0,26.0
13.495,9.874,2000000.0,26.0
22.291,19.915,2000000.0,26.0
19.95,19.876,2000000.0,26.0
19.139,19.095,2000000.0,26.0
19.908,19.877,2000000.0,26.0
19.054,18.967,2000000.0,26.0
26.075,25.977,2000000.0,26.0
12.998,10.876,2000000.0,26.0
22.578,22.517,2000000.0,26.0
20.067,20.016,2000000.0,26.0
18.796,18.726,2000000.0,26.0
19.9,19.851,2000000.0,26.0
19.14,19.05,2000000.0,26.0
20.017,19.934,2000000.0,26.0
19.554,17.688,2000000.0,26.0
20.135,20.111,2000000.0,26.0
18.963,18.863,2000000.0,26.0
51.567,51.542,2000000.0,26.0
19.178,19.073,2000000.0,26.0
4.434,1.073,2000000.0,26.0
29.019,21.363,2000000.0,26.0
21.049,21.018,2000000.0,26.0
25.463,25.373,2000000.0,26.0
38.02,37.959,2000000.0,26.0
6.12,6.097,2000000.0,26.0
26.478,26.399,2000000.0,26.0
7.626,5.14,2000000.0,26.0
25.717,12.019,2000000.0,26.0
20.218,7.313,2000000.0,26.0
20.01,16.322,2000000.0,26.0
19.344,13.223,2000000.0,26.0
20.182,20.153,2000000.0,26.0
24.969,24.888,2000000.0,26.0
15.607,11.624,2000000.0,26.0
20.545,20.501,2000000.0,26.0
20.273,20.194,2000000.0,26.0
19.264,19.163,2000000.0,26.0
