trial,budget,revision,target,elapsedMs,refineMs,uploadedBytes,networkBytes,count,coverage
0.0,2000000.0,6.0,4.0,288.0,234.02,0.0,0.0,2000000.0,1.0
1.0,2000000.0,7.0,5.0,281.0,247.79,0.0,0.0,2000000.0,1.0
2.0,2000000.0,8.0,6.0,290.0,249.16,0.0,0.0,2000000.0,1.0
3.0,2000000.0,9.0,7.0,327.0,269.81,0.0,0.0,2000000.0,1.0
4.0,2000000.0,10.0,8.0,314.0,254.73,0.0,0.0,2000000.0,1.0
5.0,2000000.0,11.0,9.0,341.0,306.83,0.0,0.0,2000000.0,1.0
6.0,2000000.0,12.0,10.0,314.0,283.15,0.0,0.0,2000000.0,1.0
7.0,2000000.0,13.0,11.0,313.0,257.04,0.0,0.0,2000000.0,1.0
8.0,2000000.0,14.0,12.0,283.0,247.38,0.0,0.0,2000000.0,1.0
9.0,2000000.0,15.0,13.0,303.0,259.14,0.0,0.0,2000000.0,1.0
10.0,2000000.0,16.0,14.0,321.0,251.42,0.0,0.0,2000000.0,1.0
11.0,2000000.0,17.0,15.0,312.0,269.71,0.0,0.0,2000000.0,1.0
12.0,2000000.0,18.0,16.0,332.0,266.38,0.0,0.0,2000000.0,1.0
13.0,2000000.0,19.0,17.0,315.0,269.17,0.0,0.0,2000000.0,1.0
14.0,2000000.0,20.0,18.0,313.0,250.11,0.0,0.0,2000000.0,1.0
15.0,2000000.0,21.0,19.0,325.0,253.15,0.0,0.0,2000000.0,1.0
16.0,2000000.0,22.0,20.0,319.0,263.68,0.0,0.0,2000000.0,1.0
17.0,2000000.0,23.0,21.0,321.0,250.41,0.0,0.0,2000000.0,1.0
18.0,2000000.0,24.0,22.0,303.0,262.12,0.0,0.0,2000000.0,1.0
19.0,2000000.0,25.0,23.0,306.0,255.67,0.0,0.0,2000000.0,1.0
