intervalMs,submitMs,count,revision
41.527,41.515,4000000.0,25.0
48.204,48.177,4000000.0,25.0
47.13,47.089,4000000.0,25.0
39.508,39.468,4000000.0,25.0
45.513,45.495,4000000.0,25.0
54.767,54.719,4000000.0,25.0
91.562,91.535,4000000.0,25.0
13.467,10.28,4000000.0,25.0
27.159,21.54,4000000.0,25.0
57.449,57.355,4000000.0,25.0
31.889,31.832,4000000.0,25.0
54.553,54.527,4000000.0,25.0
29.923,29.892,4000000.0,25.0
56.48,53.756,4000000.0,25.0
78.674,78.622,4000000.0,25.0
4.294,4.262,4000000.0,25.0
22.153,11.512,4000000.0,25.0
42.335,41.779,4000000.0,25.0
40.385,40.343,4000000.0,25.0
59.682,59.632,4000000.0,25.0
37.295,37.231,4000000.0,25.0
25.17,22.1,4000000.0,25.0
40.395,40.359,4000000.0,25.0
57.708,57.687,4000000.0,25.0
22.064,22.013,4000000.0,25.0
38.445,38.374,4000000.0,25.0
41.15,41.107,4000000.0,25.0
100.83,97.14,4000000.0,25.0
5.892,5.788,4000000.0,25.0
15.075,15.053,4000000.0,25.0
44.978,44.937,4000000.0,25.0
40.189,40.141,4000000.0,25.0
41.142,41.107,4000000.0,25.0
40.187,40.148,4000000.0,25.0
40.89,40.853,4000000.0,25.0
58.817,56.148,4000000.0,25.0
84.619,84.58,4000000.0,25.0
16.782,16.73,4000000.0,25.0
67.784,63.574,4000000.0,25.0
18.809,18.768,4000000.0,25.0
3.736,0.395,4000000.0,25.0
54.405,38.357,4000000.0,25.0
42.719,42.694,4000000.0,25.0
43.346,43.321,4000000.0,25.0
44.886,44.848,4000000.0,25.0
44.825,44.802,4000000.0,25.0
58.139,58.112,4000000.0,25.0
57.635,57.6,4000000.0,25.0
67.104,64.394,4000000.0,25.0
189.254,189.22,4000000.0,25.0
15.605,15.583,4000000.0,25.0
141.581,138.595,4000000.0,25.0
348.012,347.999,4000000.0,25.0
15.339,15.308,4000000.0,25.0
120.6,117.721,4000000.0,25.0
192.735,190.045,4000000.0,25.0
164.673,164.637,4000000.0,25.0
177.427,175.063,4000000.0,25.0
130.441,130.39,4000000.0,25.0
105.521,102.213,4000000.0,25.0
178.077,178.042,4000000.0,25.0
38.844,38.79,4000000.0,25.0
4.161,0.432,4000000.0,25.0
62.526,51.77,4000000.0,25.0
41.271,41.225,4000000.0,25.0
39.912,39.828,4000000.0,25.0
39.812,39.707,4000000.0,25.0
49.265,49.22,4000000.0,25.0
30.196,23.449,4000000.0,25.0
59.909,59.816,4000000.0,25.0
73.146,73.091,4000000.0,25.0
24.629,24.597,4000000.0,25.0
57.085,57.041,4000000.0,25.0
9.438,9.413,4000000.0,25.0
39.291,39.241,4000000.0,25.0
80.84,80.717,4000000.0,25.0
39.486,39.427,4000000.0,25.0
6.422,1.136,4000000.0,25.0
55.738,42.291,4000000.0,25.0
45.32,45.288,4000000.0,25.0
42.984,42.889,4000000.0,25.0
45.56,45.513,4000000.0,25.0
44.321,44.291,4000000.0,25.0
43.195,43.157,4000000.0,25.0
46.397,43.041,4000000.0,25.0
43.068,43.019,4000000.0,25.0
44.493,44.461,4000000.0,25.0
107.676,107.638,4000000.0,25.0
16.325,16.219,4000000.0,25.0
20.502,20.4,4000000.0,25.0
47.232,47.163,4000000.0,25.0
48.932,48.89,4000000.0,25.0
47.033,41.23,4000000.0,25.0
34.819,34.736,4000000.0,25.0
54.398,54.367,4000000.0,25.0
84.769,84.743,4000000.0,25.0
93.101,93.008,4000000.0,25.0
31.2,31.146,4000000.0,25.0
6.051,0.83,4000000.0,25.0
72.539,70.46,4000000.0,25.0
41.618,41.579,4000000.0,25.0
43.579,43.552,4000000.0,25.0
40.688,40.646,4000000.0,25.0
39.399,39.367,4000000.0,25.0
40.627,40.597,4000000.0,25.0
41.497,38.248,4000000.0,25.0
40.155,40.075,4000000.0,25.0
41.139,41.109,4000000.0,25.0
98.442,98.4,4000000.0,25.0
14.547,14.521,4000000.0,25.0
13.983,8.95,4000000.0,25.0
37.527,29.538,4000000.0,25.0
95.571,95.438,4000000.0,25.0
18.15,18.121,4000000.0,25.0
6.145,2.878,4000000.0,25.0
53.092,40.121,4000000.0,25.0
40.452,40.405,4000000.0,25.0
39.09,39.015,4000000.0,25.0
40.633,40.54,4000000.0,25.0
39.543,39.505,4000000.0,25.0
40.176,40.13,4000000.0,25.0
56.468,56.355,4000000.0,25.0
83.604,83.574,4000000.0,25.0
16.251,13.6,4000000.0,25.0
16.292,16.186,4000000.0,25.0
34.438,29.296,4000000.0,25.0
40.411,40.355,4000000.0,25.0
58.119,58.045,4000000.0,25.0
21.432,21.326,4000000.0,25.0
39.634,39.55,4000000.0,25.0
41.021,40.914,4000000.0,25.0
57.893,57.826,4000000.0,25.0
82.235,75.938,4000000.0,25.0
9.489,9.392,4000000.0,25.0
34.391,23.18,4000000.0,25.0
98.833,98.752,4000000.0,25.0
17.269,17.198,4000000.0,25.0
16.342,16.25,4000000.0,25.0
57.915,57.377,4000000.0,25.0
8.506,1.038,4000000.0,25.0
53.125,39.861,4000000.0,25.0
74.497,74.413,4000000.0,25.0
34.313,34.235,4000000.0,25.0
39.795,39.719,4000000.0,25.0
48.883,48.85,4000000.0,25.0
98.231,98.126,4000000.0,25.0
16.919,16.895,4000000.0,25.0
33.175,29.252,4000000.0,25.0
47.69,47.649,4000000.0,25.0
33.974,33.937,4000000.0,25.0
43.42,43.33,4000000.0,25.0
45.004,44.907,4000000.0,25.0
44.256,44.155,4000000.0,25.0
47.846,47.806,4000000.0,25.0
47.816,44.652,4000000.0,25.0
47.197,47.148,4000000.0,25.0
45.818,45.721,4000000.0,25.0
49.447,49.408,4000000.0,25.0
52.102,52.005,4000000.0,25.0
96.512,96.468,4000000.0,25.0
18.146,18.112,4000000.0,25.0
30.623,26.994,4000000.0,25.0
93.559,93.525,4000000.0,25.0
4.433,4.403,4000000.0,25.0
23.613,15.712,4000000.0,25.0
43.416,42.014,4000000.0,25.0
99.052,98.967,4000000.0,25.0
16.892,16.862,4000000.0,25.0
4.146,0.521,4000000.0,25.0
53.943,47.385,4000000.0,25.0
40.087,40.035,4000000.0,25.0
41.052,40.966,4000000.0,25.0
39.755,39.659,4000000.0,25.0
40.905,40.798,4000000.0,25.0
40.099,40.027,4000000.0,25.0
40.158,40.077,4000000.0,25.0
50.986,50.936,4000000.0,25.0
28.996,25.309,4000000.0,25.0
40.3,40.255,4000000.0,25.0
40.26,40.172,4000000.0,25.0
97.101,97.056,4000000.0,25.0
9.429,9.371,4000000.0,25.0
16.671,16.6,4000000.0,25.0
43.187,43.045,4000000.0,25.0
41.058,40.944,4000000.0,25.0
55.297,55.215,4000000.0,25.0
24.043,20.399,4000000.0,25.0
55.265,55.223,4000000.0,25.0
79.972,79.931,4000000.0,25.0
18.941,18.854,4000000.0,25.0
23.368,22.678,4000000.0,25.0
23.178,23.107,4000000.0,25.0
58.274,58.19,4000000.0,25.0
47.074,46.982,4000000.0,25.0
13.647,7.47,4000000.0,25.0
47.422,43.282,4000000.0,25.0
41.211,41.131,4000000.0,25.0
41.205,41.131,4000000.0,25.0
43.137,43.069,4000000.0,25.0
45.386,45.309,4000000.0,25.0
45.062,45.008,4000000.0,25.0
44.413,44.358,4000000.0,25.0
38.502,34.081,4000000.0,25.0
48.345,48.251,4000000.0,25.0
42.614,42.515,4000000.0,25.0
53.221,53.182,4000000.0,25.0
47.01,46.918,4000000.0,25.0
37.351,37.238,4000000.0,25.0
51.733,51.641,4000000.0,25.0
54.48,54.431,4000000.0,25.0
35.055,30.323,4000000.0,25.0
51.25,51.211,4000000.0,25.0
40.905,40.854,4000000.0,25.0
50.297,50.228,4000000.0,25.0
