trial,budget,revision,target,elapsedMs,refineMs,uploadedBytes,networkBytes,count,coverage
0.0,4000000.0,5.0,4.0,523.0,470.05,0.0,0.0,4000000.0,1.0
1.0,4000000.0,6.0,5.0,586.0,512.35,0.0,0.0,4000000.0,1.0
2.0,4000000.0,7.0,6.0,530.0,490.25,0.0,0.0,4000000.0,1.0
3.0,4000000.0,8.0,7.0,522.0,473.91,0.0,0.0,4000000.0,1.0
4.0,4000000.0,9.0,8.0,593.0,521.39,0.0,0.0,4000000.0,1.0
5.0,4000000.0,10.0,9.0,595.0,520.41,0.0,0.0,4000000.0,1.0
6.0,4000000.0,11.0,10.0,581.0,536.54,0.0,0.0,4000000.0,1.0
7.0,4000000.0,12.0,11.0,601.0,530.81,0.0,0.0,4000000.0,1.0
8.0,4000000.0,13.0,12.0,538.0,462.48,0.0,0.0,4000000.0,1.0
9.0,4000000.0,14.0,13.0,521.0,481.16,0.0,0.0,4000000.0,1.0
10.0,4000000.0,15.0,14.0,532.0,460.89,0.0,0.0,4000000.0,1.0
11.0,4000000.0,16.0,15.0,610.0,531.72,0.0,0.0,4000000.0,1.0
12.0,4000000.0,17.0,16.0,585.0,505.75,0.0,0.0,4000000.0,1.0
13.0,4000000.0,18.0,17.0,573.0,525.13,0.0,0.0,4000000.0,1.0
14.0,4000000.0,19.0,18.0,571.0,503.49,0.0,0.0,4000000.0,1.0
15.0,4000000.0,20.0,19.0,573.0,522.52,0.0,0.0,4000000.0,1.0
16.0,4000000.0,21.0,20.0,552.0,475.94,0.0,0.0,4000000.0,1.0
17.0,4000000.0,22.0,21.0,610.0,533.43,0.0,0.0,4000000.0,1.0
18.0,4000000.0,23.0,22.0,503.0,457.48,0.0,0.0,4000000.0,1.0
19.0,4000000.0,24.0,23.0,575.0,496.6,0.0,0.0,4000000.0,1.0
