trial,budget,revision,target,elapsedMs,refineMs,uploadedBytes,count,coverage
0.0,2000000.0,5.0,5.0,257.0,235.83,0.0,2000000.0,1.0
1.0,2000000.0,6.0,6.0,235.0,206.29,0.0,2000000.0,1.0
2.0,2000000.0,7.0,7.0,276.0,231.01,0.0,2000000.0,1.0
3.0,2000000.0,8.0,8.0,287.0,237.49,0.0,2000000.0,1.0
4.0,2000000.0,9.0,9.0,337.0,261.59,0.0,2000000.0,1.0
5.0,2000000.0,10.0,10.0,344.0,265.47,0.0,2000000.0,1.0
6.0,2000000.0,11.0,11.0,330.0,249.97,0.0,2000000.0,1.0
7.0,2000000.0,12.0,12.0,338.0,253.96,0.0,2000000.0,1.0
8.0,2000000.0,13.0,13.0,331.0,232.59,0.0,2000000.0,1.0
9.0,2000000.0,14.0,14.0,318.0,256.64,0.0,2000000.0,1.0
10.0,2000000.0,15.0,15.0,262.0,236.19,0.0,2000000.0,1.0
11.0,2000000.0,16.0,16.0,298.0,231.62,0.0,2000000.0,1.0
12.0,2000000.0,17.0,17.0,300.0,253.37,0.0,2000000.0,1.0
13.0,2000000.0,18.0,18.0,326.0,250.18,0.0,2000000.0,1.0
14.0,2000000.0,19.0,19.0,335.0,258.64,0.0,2000000.0,1.0
15.0,2000000.0,20.0,20.0,304.0,246.7,0.0,2000000.0,1.0
16.0,2000000.0,21.0,21.0,278.0,249.82,0.0,2000000.0,1.0
17.0,2000000.0,22.0,22.0,350.0,249.94,0.0,2000000.0,1.0
18.0,2000000.0,23.0,23.0,311.0,233.45,0.0,2000000.0,1.0
19.0,2000000.0,24.0,24.0,257.0,218.32,0.0,2000000.0,1.0
