intervalMs,submitMs,count,revision
22.945,1.937,8000000.0,68.0
151.908,133.985,8000000.0,68.0
129.289,129.232,8000000.0,68.0
132.176,132.12,8000000.0,68.0
129.835,129.555,8000000.0,68.0
85.343,85.277,8000000.0,68.0
52.482,52.453,8000000.0,68.0
67.043,60.352,8000000.0,68.0
70.548,70.522,8000000.0,68.0
91.431,91.41,8000000.0,68.0
81.244,81.216,8000000.0,68.0
78.284,78.253,8000000.0,68.0
80.253,80.234,8000000.0,68.0
161.505,161.48,8000000.0,68.0
5.39,0.419,8000000.0,68.0
107.616,105.501,8000000.0,68.0
84.101,84.063,8000000.0,68.0
89.66,89.626,8000000.0,68.0
79.505,79.481,8000000.0,68.0
81.256,81.225,8000000.0,68.0
126.903,126.859,8000000.0,68.0
80.524,75.286,8000000.0,68.0
90.669,90.642,8000000.0,68.0
105.789,105.763,8000000.0,68.0
83.21,83.169,8000000.0,68.0
40.571,40.493,8000000.0,68.0
121.569,121.521,8000000.0,68.0
105.572,105.543,8000000.0,68.0
103.125,98.923,8000000.0,68.0
109.662,109.64,8000000.0,68.0
104.089,104.055,8000000.0,68.0
107.074,107.047,8000000.0,68.0
105.574,105.539,8000000.0,68.0
120.794,114.463,8000000.0,68.0
119.737,119.71,8000000.0,68.0
112.411,112.354,8000000.0,68.0
111.086,111.043,8000000.0,68.0
136.288,136.275,8000000.0,68.0
8.864,0.639,8000000.0,68.0
124.324,97.176,8000000.0,68.0
87.636,87.601,8000000.0,68.0
81.608,81.575,8000000.0,68.0
86.494,86.458,8000000.0,68.0
83.535,83.412,8000000.0,68.0
89.203,89.155,8000000.0,68.0
70.466,63.72,8000000.0,68.0
78.116,78.088,8000000.0,68.0
117.679,117.638,8000000.0,68.0
84.719,84.67,8000000.0,68.0
36.497,36.411,8000000.0,68.0
101.658,101.59,8000000.0,68.0
112.298,112.24,8000000.0,68.0
92.589,86.728,8000000.0,68.0
44.889,44.855,8000000.0,68.0
159.253,159.211,8000000.0,68.0
84.4,84.377,8000000.0,68.0
86.694,86.638,8000000.0,68.0
93.674,93.62,8000000.0,68.0
142.335,142.242,8000000.0,68.0
7.815,0.523,8000000.0,68.0
149.173,130.028,8000000.0,68.0
96.587,96.545,8000000.0,68.0
96.114,96.074,8000000.0,68.0
82.284,82.25,8000000.0,68.0
80.714,80.629,8000000.0,68.0
76.107,76.013,8000000.0,68.0
87.002,80.51,8000000.0,68.0
82.655,82.599,8000000.0,68.0
121.103,121.077,8000000.0,68.0
90.68,90.631,8000000.0,68.0
34.358,34.316,8000000.0,68.0
102.619,102.554,8000000.0,68.0
78.468,78.43,8000000.0,68.0
192.964,192.877,8000000.0,68.0
7.559,0.621,8000000.0,68.0
119.85,107.028,8000000.0,68.0
88.235,88.195,8000000.0,68.0
82.293,82.269,8000000.0,68.0
90.99,90.964,8000000.0,68.0
92.395,92.323,8000000.0,68.0
91.217,91.123,8000000.0,68.0
93.406,85.229,8000000.0,68.0
108.254,108.224,8000000.0,68.0
137.678,137.624,8000000.0,68.0
92.217,92.162,8000000.0,68.0
104.97,104.94,8000000.0,68.0
159.164,159.101,8000000.0,68.0
8.607,0.512,8000000.0,68.0
176.687,164.572,8000000.0,68.0
107.991,107.948,8000000.0,68.0
101.79,101.755,8000000.0,68.0
114.323,114.274,8000000.0,68.0
86.289,86.26,8000000.0,68.0
113.019,106.269,8000000.0,68.0
84.944,84.905,8000000.0,68.0
84.745,84.721,8000000.0,68.0
95.334,95.282,8000000.0,68.0
84.236,84.163,8000000.0,68.0
88.932,88.887,8000000.0,68.0
91.298,91.189,8000000.0,68.0
158.219,158.051,8000000.0,68.0
6.672,0.521,8000000.0,68.0
120.432,109.805,8000000.0,68.0
83.089,83.054,8000000.0,68.0
81.629,81.595,8000000.0,68.0
