trial,budget,revision,target,elapsedMs,refineMs,uploadedBytes,networkBytes,count,coverage
0.0,2000000.0,5.0,5.0,3326.0,3279.79,67368960.0,0.0,2000000.0,1.0
1.0,2000000.0,6.0,6.0,3530.0,3486.42,67287040.0,0.0,2000000.0,1.0
2.0,2000000.0,7.0,7.0,3273.0,3200.09,67368960.0,0.0,2000000.0,1.0
3.0,2000000.0,8.0,8.0,3344.0,3310.35,67287040.0,0.0,2000000.0,1.0
4.0,2000000.0,9.0,9.0,3245.0,3194.51,67368960.0,0.0,2000000.0,1.0
5.0,2000000.0,10.0,10.0,3462.0,3427.65,67287040.0,0.0,2000000.0,1.0
6.0,2000000.0,11.0,11.0,3358.0,3269.37,67368960.0,0.0,2000000.0,1.0
7.0,2000000.0,12.0,12.0,3384.0,3345.88,67287040.0,0.0,2000000.0,1.0
8.0,2000000.0,13.0,13.0,3477.0,3395.26,67368960.0,0.0,2000000.0,1.0
9.0,2000000.0,14.0,14.0,3346.0,3313.97,67287040.0,0.0,2000000.0,1.0
10.0,2000000.0,15.0,15.0,3308.0,3248.46,67368960.0,0.0,2000000.0,1.0
11.0,2000000.0,16.0,16.0,3346.0,3325.93,67287040.0,0.0,2000000.0,1.0
12.0,2000000.0,17.0,17.0,3377.0,3352.93,67368960.0,0.0,2000000.0,1.0
13.0,2000000.0,18.0,18.0,3454.0,3406.45,67287040.0,0.0,2000000.0,1.0
14.0,2000000.0,19.0,19.0,3315.0,3268.62,67368960.0,0.0,2000000.0,1.0
15.0,2000000.0,20.0,20.0,3471.0,3428.74,67287040.0,0.0,2000000.0,1.0
16.0,2000000.0,21.0,21.0,3391.0,3364.89,67368960.0,0.0,2000000.0,1.0
17.0,2000000.0,22.0,22.0,3479.0,3435.05,67287040.0,0.0,2000000.0,1.0
18.0,2000000.0,23.0,23.0,3151.0,3101.53,67368960.0,0.0,2000000.0,1.0
19.0,2000000.0,24.0,24.0,3170.0,3143.05,67287040.0,0.0,2000000.0,1.0
