intervalMs,submitMs,count,revision
24.95,2.134,4000000.0,27.0
61.504,47.433,4000000.0,27.0
41.651,41.62,4000000.0,27.0
44.645,44.599,4000000.0,27.0
47.645,47.603,4000000.0,27.0
45.662,45.62,4000000.0,27.0
38.329,38.296,4000000.0,27.0
38.741,38.624,4000000.0,27.0
44.546,44.369,4000000.0,27.0
27.889,24.751,4000000.0,27.0
47.36,47.343,4000000.0,27.0
38.991,38.953,4000000.0,27.0
39.494,39.466,4000000.0,27.0
37.85,37.822,4000000.0,27.0
37.331,37.3,4000000.0,27.0
36.728,36.693,4000000.0,27.0
36.899,34.057,4000000.0,27.0
37.973,37.797,4000000.0,27.0
37.807,37.782,4000000.0,27.0
36.38,36.337,4000000.0,27.0
35.46,35.427,4000000.0,27.0
33.626,33.601,4000000.0,27.0
37.052,37.006,4000000.0,27.0
36.016,32.891,4000000.0,27.0
37.116,37.092,4000000.0,27.0
35.542,35.514,4000000.0,27.0
48.145,48.114,4000000.0,27.0
42.755,42.74,4000000.0,27.0
34.504,34.484,4000000.0,27.0
37.629,37.595,4000000.0,27.0
59.215,59.101,4000000.0,27.0
3.241,0.343,4000000.0,27.0
50.56,41.469,4000000.0,27.0
36.552,36.505,4000000.0,27.0
33.936,33.902,4000000.0,27.0
34.845,34.819,4000000.0,27.0
38.087,38.028,4000000.0,27.0
34.406,34.34,4000000.0,27.0
33.664,33.634,4000000.0,27.0
36.565,36.547,4000000.0,27.0
35.077,31.7,4000000.0,27.0
34.833,34.809,4000000.0,27.0
36.872,36.805,4000000.0,27.0
35.735,35.711,4000000.0,27.0
34.065,34.02,4000000.0,27.0
36.597,36.54,4000000.0,27.0
35.609,35.585,4000000.0,27.0
36.65,36.628,4000000.0,27.0
36.834,36.808,4000000.0,27.0
36.819,34.01,4000000.0,27.0
36.868,36.838,4000000.0,27.0
36.197,36.167,4000000.0,27.0
36.538,36.499,4000000.0,27.0
34.546,34.515,4000000.0,27.0
39.001,38.972,4000000.0,27.0
36.973,36.943,4000000.0,27.0
35.38,35.345,4000000.0,27.0
38.033,36.238,4000000.0,27.0
40.87,40.799,4000000.0,27.0
40.072,40.044,4000000.0,27.0
38.039,38.015,4000000.0,27.0
43.923,43.883,4000000.0,27.0
41.731,41.703,4000000.0,27.0
42.38,42.353,4000000.0,27.0
42.532,39.423,4000000.0,27.0
39.278,39.252,4000000.0,27.0
