trial,budget,revision,target,elapsedMs,refineMs,uploadedBytes,networkBytes,count,coverage
0.0,4000000.0,7.0,5.0,447.0,414.11,0.0,0.0,4000000.0,1.0
1.0,4000000.0,8.0,6.0,554.0,497.84,0.0,0.0,4000000.0,1.0
2.0,4000000.0,9.0,7.0,509.0,473.03,0.0,0.0,4000000.0,1.0
3.0,4000000.0,10.0,8.0,561.0,489.36,0.0,0.0,4000000.0,1.0
4.0,4000000.0,11.0,9.0,555.0,480.5,0.0,0.0,4000000.0,1.0
5.0,4000000.0,12.0,10.0,517.0,463.88,0.0,0.0,4000000.0,1.0
6.0,4000000.0,13.0,11.0,475.0,439.54,0.0,0.0,4000000.0,1.0
7.0,4000000.0,14.0,12.0,470.0,440.67,0.0,0.0,4000000.0,1.0
8.0,4000000.0,15.0,13.0,534.0,502.62,0.0,0.0,4000000.0,1.0
9.0,4000000.0,16.0,14.0,522.0,488.95,0.0,0.0,4000000.0,1.0
10.0,4000000.0,17.0,15.0,508.0,455.52,0.0,0.0,4000000.0,1.0
11.0,4000000.0,18.0,16.0,479.0,431.64,0.0,0.0,4000000.0,1.0
12.0,4000000.0,19.0,17.0,452.0,409.83,0.0,0.0,4000000.0,1.0
13.0,4000000.0,20.0,18.0,536.0,505.63,0.0,0.0,4000000.0,1.0
14.0,4000000.0,21.0,19.0,454.0,398.69,0.0,0.0,4000000.0,1.0
15.0,4000000.0,22.0,20.0,461.0,426.49,0.0,0.0,4000000.0,1.0
16.0,4000000.0,23.0,21.0,519.0,479.18,0.0,0.0,4000000.0,1.0
17.0,4000000.0,24.0,22.0,517.0,472.59,0.0,0.0,4000000.0,1.0
18.0,4000000.0,25.0,23.0,445.0,416.48,0.0,0.0,4000000.0,1.0
19.0,4000000.0,26.0,24.0,524.0,420.71,0.0,0.0,4000000.0,1.0
