trial,budget,revision,target,elapsedMs,refineMs,uploadedBytes,count,coverage
0.0,2000000.0,5.0,5.0,6599.0,6558.12,67368960.0,2000000.0,1.0
1.0,2000000.0,6.0,6.0,6605.0,6555.13,67287040.0,2000000.0,1.0
2.0,2000000.0,7.0,7.0,6585.0,6535.43,67368960.0,2000000.0,1.0
3.0,2000000.0,8.0,8.0,6531.0,6473.94,67287040.0,2000000.0,1.0
4.0,2000000.0,9.0,9.0,6426.0,6356.34,67368960.0,2000000.0,1.0
5.0,2000000.0,10.0,10.0,6602.0,6550.97,67287040.0,2000000.0,1.0
6.0,2000000.0,11.0,11.0,6559.0,6494.62,67368960.0,2000000.0,1.0
7.0,2000000.0,12.0,12.0,6612.0,6517.95,67287040.0,2000000.0,1.0
8.0,2000000.0,13.0,13.0,6488.0,6424.34,67368960.0,2000000.0,1.0
9.0,2000000.0,14.0,14.0,6465.0,6406.47,67287040.0,2000000.0,1.0
10.0,2000000.0,15.0,15.0,6442.0,6380.14,67368960.0,2000000.0,1.0
11.0,2000000.0,16.0,16.0,6554.0,6502.96,67287040.0,2000000.0,1.0
12.0,2000000.0,17.0,17.0,6466.0,6427.67,67368960.0,2000000.0,1.0
13.0,2000000.0,18.0,18.0,6647.0,6588.05,67287040.0,2000000.0,1.0
14.0,2000000.0,19.0,19.0,6526.0,6513.33,67368960.0,2000000.0,1.0
15.0,2000000.0,20.0,20.0,6517.0,6475.77,67287040.0,2000000.0,1.0
16.0,2000000.0,21.0,21.0,6422.0,6398.11,67368960.0,2000000.0,1.0
17.0,2000000.0,22.0,22.0,6509.0,6458.78,67287040.0,2000000.0,1.0
18.0,2000000.0,23.0,23.0,6510.0,6441.33,67368960.0,2000000.0,1.0
19.0,2000000.0,24.0,24.0,6563.0,6475.89,67287040.0,2000000.0,1.0
