trial,budget,revision,target,elapsedMs,refineMs,uploadedBytes,count,coverage
0.0,2000000.0,4.0,4.0,7931.0,7858.12,134610944.0,2000000.0,1.0
1.0,2000000.0,5.0,5.0,8039.0,7964.34,134447104.0,2000000.0,1.0
2.0,2000000.0,6.0,6.0,7768.0,7708.63,134610944.0,2000000.0,1.0
3.0,2000000.0,7.0,7.0,8004.0,7923.62,134447104.0,2000000.0,1.0
4.0,2000000.0,8.0,8.0,7892.0,7837.52,134610944.0,2000000.0,1.0
5.0,2000000.0,9.0,9.0,7860.0,7821.74,134447104.0,2000000.0,1.0
6.0,2000000.0,10.0,10.0,7679.0,7614.82,134610944.0,2000000.0,1.0
7.0,2000000.0,11.0,11.0,7931.0,7864.81,134447104.0,2000000.0,1.0
8.0,2000000.0,12.0,12.0,7786.0,7727.42,134610944.0,2000000.0,1.0
9.0,2000000.0,13.0,13.0,7923.0,7816.17,134447104.0,2000000.0,1.0
10.0,2000000.0,14.0,14.0,7787.0,7691.69,134610944.0,2000000.0,1.0
11.0,2000000.0,15.0,15.0,7790.0,7727.54,134447104.0,2000000.0,1.0
12.0,2000000.0,16.0,16.0,7713.0,7649.96,134610944.0,2000000.0,1.0
13.0,2000000.0,17.0,17.0,7953.0,7882.08,134447104.0,2000000.0,1.0
14.0,2000000.0,18.0,18.0,7678.0,7661.98,134610944.0,2000000.0,1.0
15.0,2000000.0,19.0,19.0,7761.0,7684.62,134447104.0,2000000.0,1.0
16.0,2000000.0,20.0,20.0,7757.0,7693.06,134610944.0,2000000.0,1.0
17.0,2000000.0,21.0,21.0,7875.0,7816.01,134447104.0,2000000.0,1.0
18.0,2000000.0,22.0,22.0,7775.0,7720.49,134610944.0,2000000.0,1.0
19.0,2000000.0,23.0,23.0,7768.0,7724.65,134447104.0,2000000.0,1.0
