intervalMs,submitMs,count,revision
20.843,13.12,2000000.0,25.0
20.881,20.857,2000000.0,25.0
35.323,35.286,2000000.0,25.0
7.787,7.698,2000000.0,25.0
23.246,23.149,2000000.0,25.0
36.145,36.113,2000000.0,25.0
29.721,28.124,2000000.0,25.0
2.562,2.538,2000000.0,25.0
22.688,21.541,2000000.0,25.0
25.401,25.347,2000000.0,25.0
42.474,42.449,2000000.0,25.0
3.647,0.875,2000000.0,25.0
17.355,12.005,2000000.0,25.0
26.606,26.54,2000000.0,25.0
22.887,22.742,2000000.0,25.0
22.311,18.842,2000000.0,25.0
23.258,23.216,2000000.0,25.0
22.06,21.952,2000000.0,25.0
26.052,25.964,2000000.0,25.0
21.135,19.423,2000000.0,25.0
20.893,20.79,2000000.0,25.0
20.19,20.146,2000000.0,25.0
20.3,20.279,2000000.0,25.0
23.879,23.785,2000000.0,25.0
16.784,12.375,2000000.0,25.0
21.32,21.279,2000000.0,25.0
20.165,20.093,2000000.0,25.0
19.414,19.384,2000000.0,25.0
27.368,27.245,2000000.0,25.0
16.462,13.083,2000000.0,25.0
19.886,19.852,2000000.0,25.0
19.988,19.943,2000000.0,25.0
20.502,20.462,2000000.0,25.0
31.094,31.022,2000000.0,25.0
7.452,2.064,2000000.0,25.0
26.072,18.083,2000000.0,25.0
20.527,20.482,2000000.0,25.0
19.789,19.738,2000000.0,25.0
20.61,20.57,2000000.0,25.0
19.342,16.847,2000000.0,25.0
19.949,19.918,2000000.0,25.0
18.848,18.748,2000000.0,25.0
20.099,20.032,2000000.0,25.0
20.353,19.992,2000000.0,25.0
20.847,20.737,2000000.0,25.0
19.39,17.787,2000000.0,25.0
20.061,20.029,2000000.0,25.0
18.892,18.85,2000000.0,25.0
20.388,20.362,2000000.0,25.0
25.479,25.171,2000000.0,25.0
13.945,12.564,2000000.0,25.0
24.967,24.936,2000000.0,25.0
13.96,13.934,2000000.0,25.0
28.532,24.461,2000000.0,25.0
22.056,22.021,2000000.0,25.0
9.602,5.404,2000000.0,25.0
24.624,22.393,2000000.0,25.0
19.952,19.846,2000000.0,25.0
19.047,18.984,2000000.0,25.0
23.223,23.174,2000000.0,25.0
16.772,15.166,2000000.0,25.0
19.738,19.685,2000000.0,25.0
20.539,20.495,2000000.0,25.0
19.672,19.628,2000000.0,25.0
20.496,20.471,2000000.0,25.0
19.046,17.571,2000000.0,25.0
19.618,19.597,2000000.0,25.0
19.138,19.079,2000000.0,25.0
21.041,21.002,2000000.0,25.0
25.884,25.838,2000000.0,25.0
14.995,13.52,2000000.0,25.0
24.118,24.054,2000000.0,25.0
14.856,14.821,2000000.0,25.0
33.893,33.836,2000000.0,25.0
20.947,20.887,2000000.0,25.0
7.163,1.461,2000000.0,25.0
27.675,18.576,2000000.0,25.0
21.496,21.424,2000000.0,25.0
22.316,22.253,2000000.0,25.0
23.004,22.969,2000000.0,25.0
22.642,21.473,2000000.0,25.0
22.866,22.822,2000000.0,25.0
23.348,23.31,2000000.0,25.0
24.91,24.888,2000000.0,25.0
25.62,23.64,2000000.0,25.0
27.487,27.46,2000000.0,25.0
26.586,26.522,2000000.0,25.0
61.926,61.886,2000000.0,25.0
6.984,6.29,2000000.0,25.0
17.268,16.311,2000000.0,25.0
29.012,28.939,2000000.0,25.0
71.962,71.939,2000000.0,25.0
8.662,7.42,2000000.0,25.0
26.402,25.875,2000000.0,25.0
40.478,40.411,2000000.0,25.0
36.804,36.774,2000000.0,25.0
47.783,47.76,2000000.0,25.0
88.7,88.279,2000000.0,25.0
8.835,8.812,2000000.0,25.0
41.74,27.827,2000000.0,25.0
86.113,86.076,2000000.0,25.0
86.143,86.106,2000000.0,25.0
79.861,78.657,2000000.0,25.0
83.083,81.628,2000000.0,25.0
130.415,129.739,2000000.0,25.0
27.185,27.154,2000000.0,25.0
83.52,81.908,2000000.0,25.0
87.152,85.811,2000000.0,25.0
90.619,90.595,2000000.0,25.0
83.768,82.469,2000000.0,25.0
87.802,86.792,2000000.0,25.0
75.279,75.24,2000000.0,25.0
70.826,69.291,2000000.0,25.0
91.954,91.065,2000000.0,25.0
37.961,37.94,2000000.0,25.0
146.233,144.491,2000000.0,25.0
16.806,15.153,2000000.0,25.0
32.901,27.757,2000000.0,25.0
40.416,40.388,2000000.0,25.0
29.618,29.574,2000000.0,25.0
34.126,34.02,2000000.0,25.0
22.32,16.687,2000000.0,25.0
26.73,22.308,2000000.0,25.0
21.539,13.006,2000000.0,25.0
20.316,20.236,2000000.0,25.0
19.766,17.959,2000000.0,25.0
18.564,17.956,2000000.0,25.0
19.336,19.241,2000000.0,25.0
17.947,16.028,2000000.0,25.0
18.912,6.778,2000000.0,25.0
37.601,33.221,2000000.0,25.0
5.739,1.609,2000000.0,25.0
23.573,21.309,2000000.0,25.0
18.807,18.75,2000000.0,25.0
19.05,18.812,2000000.0,25.0
19.623,17.982,2000000.0,25.0
35.664,35.574,2000000.0,25.0
7.323,1.543,2000000.0,25.0
21.761,5.629,2000000.0,25.0
18.948,18.409,2000000.0,25.0
19.238,19.142,2000000.0,25.0
19.145,19.057,2000000.0,25.0
26.364,26.326,2000000.0,25.0
9.706,4.518,2000000.0,25.0
22.791,22.737,2000000.0,25.0
18.993,18.956,2000000.0,25.0
18.411,18.357,2000000.0,25.0
19.297,19.213,2000000.0,25.0
17.959,17.866,2000000.0,25.0
29.783,29.689,2000000.0,25.0
6.047,4.053,2000000.0,25.0
25.546,25.516,2000000.0,25.0
18.669,18.631,2000000.0,25.0
19.176,19.075,2000000.0,25.0
19.439,19.34,2000000.0,25.0
28.063,28.009,2000000.0,25.0
7.924,3.516,2000000.0,25.0
25.093,25.052,2000000.0,25.0
20.141,19.759,2000000.0,25.0
18.278,18.192,2000000.0,25.0
21.606,21.542,2000000.0,25.0
32.265,32.197,2000000.0,25.0
6.662,1.205,2000000.0,25.0
27.829,24.485,2000000.0,25.0
19.303,19.218,2000000.0,25.0
21.671,21.609,2000000.0,25.0
18.651,18.562,2000000.0,25.0
37.001,36.9,2000000.0,25.0
4.065,0.757,2000000.0,25.0
31.57,15.38,2000000.0,25.0
21.652,21.562,2000000.0,25.0
22.249,22.162,2000000.0,25.0
23.388,23.293,2000000.0,25.0
21.738,17.137,2000000.0,25.0
22.061,22.006,2000000.0,25.0
23.37,23.322,2000000.0,25.0
25.444,25.403,2000000.0,25.0
21.304,21.255,2000000.0,25.0
22.115,18.433,2000000.0,25.0
23.171,19.784,2000000.0,25.0
25.193,25.145,2000000.0,25.0
22.08,22.038,2000000.0,25.0
19.622,19.58,2000000.0,25.0
22.04,18.851,2000000.0,25.0
22.067,14.219,2000000.0,25.0
22.187,22.157,2000000.0,25.0
24.89,21.981,2000000.0,25.0
21.342,21.267,2000000.0,25.0
22.293,22.264,2000000.0,25.0
23.84,22.267,2000000.0,25.0
21.452,21.39,2000000.0,25.0
21.591,21.528,2000000.0,25.0
21.679,21.658,2000000.0,25.0
21.684,19.75,2000000.0,25.0
24.666,24.59,2000000.0,25.0
8.837,3.913,2000000.0,25.0
28.835,28.805,2000000.0,25.0
21.402,21.336,2000000.0,25.0
22.218,22.11,2000000.0,25.0
22.391,22.361,2000000.0,25.0
30.909,30.803,2000000.0,25.0
10.163,5.471,2000000.0,25.0
27.05,27.004,2000000.0,25.0
23.16,23.117,2000000.0,25.0
25.032,24.978,2000000.0,25.0
21.391,21.335,2000000.0,25.0
19.682,13.86,2000000.0,25.0
21.48,21.45,2000000.0,25.0
20.893,20.826,2000000.0,25.0
20.363,20.32,2000000.0,25.0
20.875,20.837,2000000.0,25.0
19.762,19.667,2000000.0,25.0
30.622,30.558,2000000.0,25.0
6.47,2.16,2000000.0,25.0
28.135,21.812,2000000.0,25.0
20.198,18.971,2000000.0,25.0
19.741,19.689,2000000.0,25.0
20.001,19.89,2000000.0,25.0
32.393,32.304,2000000.0,25.0
7.591,1.204,2000000.0,25.0
25.73,9.629,2000000.0,25.0
20.737,20.685,2000000.0,25.0
20.256,20.169,2000000.0,25.0
29.089,28.997,2000000.0,25.0
8.45,1.628,2000000.0,25.0
25.066,16.453,2000000.0,25.0
20.799,10.119,2000000.0,25.0
18.846,17.81,2000000.0,25.0
29.054,22.764,2000000.0,25.0
27.026,26.95,2000000.0,25.0
6.755,3.025,2000000.0,25.0
26.577,10.496,2000000.0,25.0
19.72,19.68,2000000.0,25.0
20.211,20.125,2000000.0,25.0
18.495,18.396,2000000.0,25.0
28.28,28.188,2000000.0,25.0
9.815,6.078,2000000.0,25.0
23.883,18.49,2000000.0,25.0
19.471,19.412,2000000.0,25.0
19.183,19.091,2000000.0,25.0
19.718,19.658,2000000.0,25.0
20.251,20.156,2000000.0,25.0
29.711,29.62,2000000.0,25.0
13.2,9.695,2000000.0,25.0
20.15,20.093,2000000.0,25.0
26.341,26.258,2000000.0,25.0
15.639,15.575,2000000.0,25.0
28.88,28.801,2000000.0,25.0
7.467,2.57,2000000.0,25.0
30.46,23.583,2000000.0,25.0
15.49,14.072,2000000.0,25.0
19.468,19.436,2000000.0,25.0
19.884,19.595,2000000.0,25.0
25.555,25.499,2000000.0,25.0
14.29,10.158,2000000.0,25.0
21.768,7.984,2000000.0,25.0
19.816,3.607,2000000.0,25.0
19.32,18.234,2000000.0,25.0
19.922,19.828,2000000.0,25.0
19.165,19.062,2000000.0,25.0
22.751,22.715,2000000.0,25.0
15.512,13.668,2000000.0,25.0
20.426,19.503,2000000.0,25.0
19.662,19.583,2000000.0,25.0
25.731,25.693,2000000.0,25.0
13.17,13.067,2000000.0,25.0
20.414,20.363,2000000.0,25.0
25.885,25.802,2000000.0,25.0
16.725,14.877,2000000.0,25.0
20.453,20.427,2000000.0,25.0
19.434,19.379,2000000.0,25.0
20.303,20.256,2000000.0,25.0
19.613,19.533,2000000.0,25.0
24.035,23.943,2000000.0,25.0
16.537,14.795,2000000.0,25.0
19.73,19.7,2000000.0,25.0
18.873,18.777,2000000.0,25.0
20.769,20.715,2000000.0,25.0
19.551,19.442,2000000.0,25.0
31.995,31.747,2000000.0,25.0
6.829,2.04,2000000.0,25.0
26.647,10.557,2000000.0,25.0
19.675,19.624,2000000.0,25.0
19.614,19.53,2000000.0,25.0
21.386,21.342,2000000.0,25.0
29.68,29.564,2000000.0,25.0
10.02,6.588,2000000.0,25.0
24.179,20.362,2000000.0,25.0
20.37,20.178,2000000.0,25.0
21.34,21.245,2000000.0,25.0
28.653,28.552,2000000.0,25.0
12.529,9.106,2000000.0,25.0
24.555,21.821,2000000.0,25.0
20.712,20.643,2000000.0,25.0
21.344,21.305,2000000.0,25.0
21.029,20.938,2000000.0,25.0
27.075,26.98,2000000.0,25.0
14.653,10.582,2000000.0,25.0
23.565,23.528,2000000.0,25.0
22.409,22.325,2000000.0,25.0
22.59,22.49,2000000.0,25.0
22.644,22.607,2000000.0,25.0
33.308,33.203,2000000.0,25.0
8.436,1.827,2000000.0,25.0
29.658,19.309,2000000.0,25.0
22.095,15.227,2000000.0,25.0
21.775,21.678,2000000.0,25.0
23.077,23.025,2000000.0,25.0
21.282,17.276,2000000.0,25.0
20.858,15.787,2000000.0,25.0
21.355,21.266,2000000.0,25.0
21.744,21.673,2000000.0,25.0
22.011,21.948,2000000.0,25.0
29.86,29.767,2000000.0,25.0
14.954,8.868,2000000.0,25.0
26.292,19.558,2000000.0,25.0
22.408,17.259,2000000.0,25.0
23.609,23.535,2000000.0,25.0
23.309,23.243,2000000.0,25.0
29.539,29.443,2000000.0,25.0
16.033,13.359,2000000.0,25.0
26.952,16.989,2000000.0,25.0
23.255,23.104,2000000.0,25.0
28.336,28.249,2000000.0,25.0
16.401,12.343,2000000.0,25.0
26.025,25.932,2000000.0,25.0
22.029,21.932,2000000.0,25.0
22.933,22.901,2000000.0,25.0
23.926,23.834,2000000.0,25.0
25.353,25.265,2000000.0,25.0
18.645,16.314,2000000.0,25.0
24.136,24.105,2000000.0,25.0
22.001,21.903,2000000.0,25.0
23.373,23.315,2000000.0,25.0
22.664,22.61,2000000.0,25.0
20.505,17.556,2000000.0,25.0
19.129,19.082,2000000.0,25.0
19.746,18.552,2000000.0,25.0
20.103,20.055,2000000.0,25.0
21.923,21.879,2000000.0,25.0
18.415,18.321,2000000.0,25.0
18.545,16.684,2000000.0,25.0
20.696,20.636,2000000.0,25.0
18.491,18.421,2000000.0,25.0
18.349,18.265,2000000.0,25.0
19.621,19.548,2000000.0,25.0
32.281,32.184,2000000.0,25.0
5.162,1.851,2000000.0,25.0
26.949,22.882,2000000.0,25.0
20.323,20.27,2000000.0,25.0
18.114,18.042,2000000.0,25.0
19.507,19.466,2000000.0,25.0
33.596,33.502,2000000.0,25.0
5.669,1.323,2000000.0,25.0
23.96,23.262,2000000.0,25.0
18.463,18.289,2000000.0,25.0
19.183,19.142,2000000.0,25.0
20.08,20.043,2000000.0,25.0
18.52,18.441,2000000.0,25.0
32.237,32.187,2000000.0,25.0
4.403,1.707,2000000.0,25.0
25.634,15.948,2000000.0,25.0
18.525,18.471,2000000.0,25.0
18.487,17.731,2000000.0,25.0
18.997,18.917,2000000.0,25.0
33.582,33.491,2000000.0,25.0
7.331,1.787,2000000.0,25.0
23.048,22.785,2000000.0,25.0
18.526,15.533,2000000.0,25.0
18.394,9.876,2000000.0,25.0
26.868,23.992,2000000.0,25.0
14.42,9.373,2000000.0,25.0
44.141,42.591,2000000.0,25.0
6.25,6.187,2000000.0,25.0
32.706,19.996,2000000.0,25.0
16.892,12.478,2000000.0,25.0
16.993,16.936,2000000.0,25.0
16.11,13.305,2000000.0,25.0
33.363,29.521,2000000.0,25.0
18.865,18.811,2000000.0,25.0
16.684,16.61,2000000.0,25.0
14.637,14.543,2000000.0,25.0
17.645,17.612,2000000.0,25.0
24.277,24.089,2000000.0,25.0
7.082,3.28,2000000.0,25.0
23.64,17.382,2000000.0,25.0
19.602,19.551,2000000.0,25.0
28.644,24.079,2000000.0,25.0
16.688,16.59,2000000.0,25.0
26.69,26.607,2000000.0,25.0
5.452,3.038,2000000.0,25.0
25.414,23.881,2000000.0,25.0
18.491,18.448,2000000.0,25.0
19.183,19.145,2000000.0,25.0
19.779,19.695,2000000.0,25.0
18.851,18.758,2000000.0,25.0
29.0,28.934,2000000.0,25.0
8.097,4.856,2000000.0,25.0
24.158,20.775,2000000.0,25.0
18.951,18.901,2000000.0,25.0
18.637,18.548,2000000.0,25.0
19.066,18.985,2000000.0,25.0
22.822,22.787,2000000.0,25.0
15.838,9.794,2000000.0,25.0
20.509,17.644,2000000.0,25.0
18.996,11.27,2000000.0,25.0
19.588,18.832,2000000.0,25.0
18.882,11.491,2000000.0,25.0
19.54,19.36,2000000.0,25.0
33.887,33.782,2000000.0,25.0
6.196,1.459,2000000.0,25.0
26.493,25.927,2000000.0,25.0
21.821,21.754,2000000.0,25.0
18.638,18.551,2000000.0,25.0
19.759,17.402,2000000.0,25.0
27.609,27.546,2000000.0,25.0
13.261,10.023,2000000.0,25.0
26.154,26.1,2000000.0,25.0
22.103,22.01,2000000.0,25.0
22.963,22.868,2000000.0,25.0
23.389,23.287,2000000.0,25.0
21.625,18.979,2000000.0,25.0
21.939,21.858,2000000.0,25.0
22.18,22.136,2000000.0,25.0
22.439,22.412,2000000.0,25.0
25.853,25.809,2000000.0,25.0
23.094,22.999,2000000.0,25.0
22.952,22.882,2000000.0,25.0
18.815,15.445,2000000.0,25.0
23.94,18.588,2000000.0,25.0
23.344,23.257,2000000.0,25.0
23.236,23.185,2000000.0,25.0
26.76,26.686,2000000.0,25.0
17.733,14.862,2000000.0,25.0
24.656,20.257,2000000.0,25.0
23.044,23.008,2000000.0,25.0
24.902,24.809,2000000.0,25.0
20.359,20.26,2000000.0,25.0
24.819,21.899,2000000.0,25.0
23.705,22.415,2000000.0,25.0
23.131,23.064,2000000.0,25.0
22.686,22.612,2000000.0,25.0
21.849,21.795,2000000.0,25.0
23.35,23.303,2000000.0,25.0
14.044,12.242,2000000.0,25.0
27.547,27.477,2000000.0,25.0
21.2,21.112,2000000.0,25.0
22.339,22.246,2000000.0,25.0
25.737,25.66,2000000.0,25.0
16.614,13.182,2000000.0,25.0
25.423,25.375,2000000.0,25.0
21.713,21.622,2000000.0,25.0
22.899,22.851,2000000.0,25.0
21.889,21.842,2000000.0,25.0
25.72,25.669,2000000.0,25.0
17.509,13.806,2000000.0,25.0
22.085,21.108,2000000.0,25.0
19.863,19.778,2000000.0,25.0
20.749,20.67,2000000.0,25.0
20.941,20.863,2000000.0,25.0
23.523,23.46,2000000.0,25.0
16.772,15.037,2000000.0,25.0
20.98,20.94,2000000.0,25.0
20.382,20.058,2000000.0,25.0
19.821,19.721,2000000.0,25.0
20.755,20.684,2000000.0,25.0
28.783,28.69,2000000.0,25.0
11.293,8.881,2000000.0,25.0
23.772,16.406,2000000.0,25.0
20.413,20.363,2000000.0,25.0
20.212,14.633,2000000.0,25.0
18.743,18.642,2000000.0,25.0
32.398,32.337,2000000.0,25.0
4.962,1.1,2000000.0,25.0
27.517,19.121,2000000.0,25.0
20.577,15.815,2000000.0,25.0
19.532,19.462,2000000.0,25.0
30.18,30.112,2000000.0,25.0
7.504,1.743,2000000.0,25.0
25.596,25.563,2000000.0,25.0
20.196,20.144,2000000.0,25.0
18.894,18.83,2000000.0,25.0
20.294,20.241,2000000.0,25.0
33.136,33.078,2000000.0,25.0
5.586,2.12,2000000.0,25.0
26.667,23.858,2000000.0,25.0
20.014,19.92,2000000.0,25.0
19.473,13.953,2000000.0,25.0
20.84,20.73,2000000.0,25.0
19.488,19.394,2000000.0,25.0
20.283,18.327,2000000.0,25.0
20.049,19.969,2000000.0,25.0
19.72,17.316,2000000.0,25.0
20.053,13.314,2000000.0,25.0
34.433,28.299,2000000.0,25.0
7.33,1.574,2000000.0,25.0
24.9,17.114,2000000.0,25.0
21.196,10.615,2000000.0,25.0
19.198,5.206,2000000.0,25.0
20.27,13.234,2000000.0,25.0
33.145,33.047,2000000.0,25.0
5.515,3.665,2000000.0,25.0
27.344,26.61,2000000.0,25.0
20.007,17.929,2000000.0,25.0
26.193,20.241,2000000.0,25.0
16.887,16.741,2000000.0,25.0
25.892,25.795,2000000.0,25.0
8.885,5.115,2000000.0,25.0
25.213,19.668,2000000.0,25.0
20.287,14.821,2000000.0,25.0
18.865,18.778,2000000.0,25.0
19.12,16.856,2000000.0,25.0
19.372,19.3,2000000.0,25.0
27.331,27.268,2000000.0,25.0
18.671,16.919,2000000.0,25.0
16.825,16.731,2000000.0,25.0
24.965,19.394,2000000.0,25.0
73.772,73.722,2000000.0,25.0
22.428,22.167,2000000.0,25.0
9.291,5.651,2000000.0,25.0
26.099,26.062,2000000.0,25.0
21.043,20.952,2000000.0,25.0
21.757,21.716,2000000.0,25.0
28.789,28.711,2000000.0,25.0
10.82,6.647,2000000.0,25.0
23.383,22.363,2000000.0,25.0
19.676,19.149,2000000.0,25.0
20.267,20.19,2000000.0,25.0
24.221,24.143,2000000.0,25.0
25.079,23.063,2000000.0,25.0
18.592,18.532,2000000.0,25.0
39.392,39.307,2000000.0,25.0
24.955,24.895,2000000.0,25.0
3.276,1.019,2000000.0,25.0
30.643,28.219,2000000.0,25.0
20.028,19.938,2000000.0,25.0
21.724,21.671,2000000.0,25.0
22.367,19.249,2000000.0,25.0
28.844,28.756,2000000.0,25.0
13.277,11.548,2000000.0,25.0
25.002,24.886,2000000.0,25.0
21.86,21.788,2000000.0,25.0
21.374,21.291,2000000.0,25.0
23.555,23.482,2000000.0,25.0
27.746,27.686,2000000.0,25.0
17.992,14.481,2000000.0,25.0
24.397,24.34,2000000.0,25.0
22.562,22.504,2000000.0,25.0
24.219,24.167,2000000.0,25.0
27.271,27.17,2000000.0,25.0
14.044,10.485,2000000.0,25.0
26.328,25.946,2000000.0,25.0
21.353,21.276,2000000.0,25.0
23.001,22.966,2000000.0,25.0
31.911,31.571,2000000.0,25.0
9.467,5.986,2000000.0,25.0
30.552,26.337,2000000.0,25.0
22.35,22.067,2000000.0,25.0
22.821,22.706,2000000.0,25.0
24.151,24.102,2000000.0,25.0
24.24,24.153,2000000.0,25.0
23.995,23.953,2000000.0,25.0
19.893,15.26,2000000.0,25.0
24.333,24.26,2000000.0,25.0
22.786,22.685,2000000.0,25.0
23.419,22.782,2000000.0,25.0
27.172,27.07,2000000.0,25.0
19.534,15.625,2000000.0,25.0
24.23,19.271,2000000.0,25.0
24.143,24.037,2000000.0,25.0
23.471,23.373,2000000.0,25.0
23.368,23.318,2000000.0,25.0
21.95,17.51,2000000.0,25.0
22.391,22.335,2000000.0,25.0
21.76,21.635,2000000.0,25.0
23.231,23.153,2000000.0,25.0
24.543,24.457,2000000.0,25.0
30.505,30.416,2000000.0,25.0
6.837,1.179,2000000.0,25.0
28.121,12.48,2000000.0,25.0
21.064,20.994,2000000.0,25.0
29.694,23.129,2000000.0,25.0
5.628,2.575,2000000.0,25.0
29.503,14.505,2000000.0,25.0
17.884,17.812,2000000.0,25.0
18.895,14.419,2000000.0,25.0
20.484,20.417,2000000.0,25.0
25.337,23.02,2000000.0,25.0
31.074,30.987,2000000.0,25.0
7.156,1.486,2000000.0,25.0
21.968,5.885,2000000.0,25.0
19.468,19.428,2000000.0,25.0
19.497,19.424,2000000.0,25.0
19.964,19.905,2000000.0,25.0
29.526,29.455,2000000.0,25.0
6.561,0.966,2000000.0,25.0
24.571,15.177,2000000.0,25.0
19.286,19.188,2000000.0,25.0
23.526,22.331,2000000.0,25.0
14.52,14.476,2000000.0,25.0
28.845,28.764,2000000.0,25.0
7.396,3.842,2000000.0,25.0
23.862,16.841,2000000.0,25.0
18.585,18.496,2000000.0,25.0
18.03,17.979,2000000.0,25.0
18.9,18.859,2000000.0,25.0
19.451,19.412,2000000.0,25.0
29.908,29.851,2000000.0,25.0
6.376,1.717,2000000.0,25.0
24.08,15.571,2000000.0,25.0
19.573,19.516,2000000.0,25.0
18.328,18.267,2000000.0,25.0
19.611,14.521,2000000.0,25.0
23.984,23.93,2000000.0,25.0
14.952,9.642,2000000.0,25.0
19.178,19.143,2000000.0,25.0
18.277,9.12,2000000.0,25.0
19.015,3.914,2000000.0,25.0
19.18,3.019,2000000.0,25.0
34.705,34.065,2000000.0,25.0
6.682,2.017,2000000.0,25.0
22.679,6.59,2000000.0,25.0
18.413,9.262,2000000.0,25.0
19.347,3.17,2000000.0,25.0
17.616,17.538,2000000.0,25.0
23.004,22.969,2000000.0,25.0
13.429,8.427,2000000.0,25.0
18.877,2.802,2000000.0,25.0
18.222,18.191,2000000.0,25.0
18.773,18.62,2000000.0,25.0
19.51,19.422,2000000.0,25.0
18.76,18.704,2000000.0,25.0
27.776,27.686,2000000.0,25.0
8.538,4.497,2000000.0,25.0
22.379,21.528,2000000.0,25.0
18.577,18.502,2000000.0,25.0
19.097,19.034,2000000.0,25.0
17.823,17.71,2000000.0,25.0
29.103,29.052,2000000.0,25.0
7.788,4.694,2000000.0,25.0
22.599,16.412,2000000.0,25.0
18.486,12.353,2000000.0,25.0
19.089,19.024,2000000.0,25.0
25.206,21.848,2000000.0,25.0
25.975,25.88,2000000.0,25.0
7.082,0.825,2000000.0,25.0
23.4,7.309,2000000.0,25.0
18.825,18.766,2000000.0,25.0
18.531,18.438,2000000.0,25.0
18.654,18.555,2000000.0,25.0
19.419,19.335,2000000.0,25.0
34.07,33.987,2000000.0,25.0
4.937,0.975,2000000.0,25.0
37.097,28.67,2000000.0,25.0
18.328,18.249,2000000.0,25.0
37.158,37.091,2000000.0,25.0
8.474,8.232,2000000.0,25.0
15.886,4.899,2000000.0,25.0
22.534,16.004,2000000.0,25.0
27.881,20.836,2000000.0,25.0
18.219,18.187,2000000.0,25.0
16.916,16.86,2000000.0,25.0
22.248,22.142,2000000.0,25.0
31.626,31.564,2000000.0,25.0
7.17,2.534,2000000.0,25.0
28.997,23.312,2000000.0,25.0
22.459,22.288,2000000.0,25.0
21.494,21.443,2000000.0,25.0
29.463,29.363,2000000.0,25.0
14.115,8.645,2000000.0,25.0
29.16,26.127,2000000.0,25.0
23.476,23.381,2000000.0,25.0
24.122,24.0,2000000.0,25.0
23.888,23.843,2000000.0,25.0
22.987,18.69,2000000.0,25.0
24.221,24.159,2000000.0,25.0
24.102,24.06,2000000.0,25.0
22.818,22.718,2000000.0,25.0
22.043,21.996,2000000.0,25.0
26.511,26.421,2000000.0,25.0
11.355,6.085,2000000.0,25.0
27.617,17.551,2000000.0,25.0
22.442,22.408,2000000.0,25.0
21.995,21.889,2000000.0,25.0
21.839,21.774,2000000.0,25.0
22.21,22.127,2000000.0,25.0
21.839,18.561,2000000.0,25.0
22.543,22.457,2000000.0,25.0
24.074,23.996,2000000.0,25.0
20.818,20.753,2000000.0,25.0
21.416,21.375,2000000.0,25.0
21.407,18.162,2000000.0,25.0
21.027,20.41,2000000.0,25.0
22.171,22.078,2000000.0,25.0
24.258,24.151,2000000.0,25.0
33.712,33.603,2000000.0,25.0
9.119,3.792,2000000.0,25.0
28.015,26.266,2000000.0,25.0
21.971,21.886,2000000.0,25.0
22.155,22.071,2000000.0,25.0
21.922,20.843,2000000.0,25.0
29.399,29.334,2000000.0,25.0
9.055,3.867,2000000.0,25.0
26.964,10.878,2000000.0,25.0
20.703,20.628,2000000.0,25.0
20.93,20.827,2000000.0,25.0
29.13,29.05,2000000.0,25.0
8.191,2.16,2000000.0,25.0
25.475,9.287,2000000.0,25.0
19.402,19.367,2000000.0,25.0
19.601,19.516,2000000.0,25.0
20.167,20.091,2000000.0,25.0
19.171,19.071,2000000.0,25.0
29.505,29.408,2000000.0,25.0
9.437,4.706,2000000.0,25.0
24.96,21.717,2000000.0,25.0
