trial,budget,revision,target,elapsedMs,refineMs,uploadedBytes,networkBytes,count,coverage
0.0,2000000.0,5.0,4.0,251.0,207.57,0.0,0.0,2000000.0,1.0
1.0,2000000.0,6.0,5.0,247.0,191.99,0.0,0.0,2000000.0,1.0
2.0,2000000.0,7.0,6.0,259.0,201.32,0.0,0.0,2000000.0,1.0
3.0,2000000.0,8.0,7.0,245.0,216.96,0.0,0.0,2000000.0,1.0
4.0,2000000.0,9.0,8.0,263.0,221.58,0.0,0.0,2000000.0,1.0
5.0,2000000.0,10.0,9.0,280.0,235.54,0.0,0.0,2000000.0,1.0
6.0,2000000.0,11.0,10.0,268.0,211.68,0.0,0.0,2000000.0,1.0
7.0,2000000.0,12.0,11.0,262.0,228.34,0.0,0.0,2000000.0,1.0
8.0,2000000.0,13.0,12.0,279.0,237.61,0.0,0.0,2000000.0,1.0
9.0,2000000.0,14.0,13.0,271.0,216.71,0.0,0.0,2000000.0,1.0
10.0,2000000.0,15.0,14.0,250.0,217.67,0.0,0.0,2000000.0,1.0
11.0,2000000.0,16.0,15.0,252.0,215.52,0.0,0.0,2000000.0,1.0
12.0,2000000.0,17.0,16.0,279.0,234.02,0.0,0.0,2000000.0,1.0
13.0,2000000.0,18.0,17.0,273.0,228.89,0.0,0.0,2000000.0,1.0
14.0,2000000.0,19.0,18.0,273.0,219.32,0.0,0.0,2000000.0,1.0
15.0,2000000.0,20.0,19.0,251.0,222.0,0.0,0.0,2000000.0,1.0
16.0,2000000.0,21.0,20.0,267.0,219.85,0.0,0.0,2000000.0,1.0
17.0,2000000.0,22.0,21.0,259.0,227.4,0.0,0.0,2000000.0,1.0
18.0,2000000.0,23.0,22.0,282.0,242.73,0.0,0.0,2000000.0,1.0
19.0,2000000.0,24.0,23.0,251.0,229.31,0.0,0.0,2000000.0,1.0
