trial,budget,revision,target,elapsedMs,refineMs,uploadedBytes,count,coverage
0.0,2000000.0,15.0,5.0,198.0,140.1,0.0,2000000.0,1.0
1.0,2000000.0,16.0,6.0,234.0,159.42,0.0,2000000.0,1.0
2.0,2000000.0,17.0,7.0,239.0,162.98,0.0,2000000.0,1.0
3.0,2000000.0,18.0,8.0,262.0,156.03,0.0,2000000.0,1.0
4.0,2000000.0,19.0,9.0,213.0,148.59,0.0,2000000.0,1.0
5.0,2000000.0,20.0,10.0,235.0,156.46,0.0,2000000.0,1.0
6.0,2000000.0,21.0,11.0,235.0,182.12,0.0,2000000.0,1.0
7.0,2000000.0,22.0,12.0,206.0,142.01,0.0,2000000.0,1.0
8.0,2000000.0,23.0,13.0,245.0,166.97,0.0,2000000.0,1.0
9.0,2000000.0,24.0,14.0,270.0,141.49,0.0,2000000.0,1.0
10.0,2000000.0,25.0,15.0,261.0,137.57,0.0,2000000.0,1.0
11.0,2000000.0,26.0,16.0,235.0,146.61,0.0,2000000.0,1.0
12.0,2000000.0,27.0,17.0,239.0,151.38,0.0,2000000.0,1.0
13.0,2000000.0,28.0,18.0,271.0,142.95,0.0,2000000.0,1.0
14.0,2000000.0,29.0,19.0,245.0,153.44,0.0,2000000.0,1.0
15.0,2000000.0,30.0,20.0,239.0,161.34,0.0,2000000.0,1.0
16.0,2000000.0,31.0,21.0,185.0,140.56,0.0,2000000.0,1.0
17.0,2000000.0,32.0,22.0,195.0,147.06,0.0,2000000.0,1.0
18.0,2000000.0,33.0,23.0,215.0,178.08,0.0,2000000.0,1.0
19.0,2000000.0,34.0,24.0,192.0,142.97,0.0,2000000.0,1.0
