trial,budget,revision,target,elapsedMs,refineMs,uploadedBytes,count,coverage
0.0,2000000.0,5.0,4.0,291.0,222.38,0.0,2000000.0,1.0
1.0,2000000.0,6.0,5.0,280.0,242.33,0.0,2000000.0,1.0
2.0,2000000.0,7.0,6.0,284.0,215.09,0.0,2000000.0,1.0
3.0,2000000.0,8.0,7.0,281.0,233.31,0.0,2000000.0,1.0
4.0,2000000.0,9.0,8.0,301.0,210.58,0.0,2000000.0,1.0
5.0,2000000.0,10.0,9.0,303.0,239.27,0.0,2000000.0,1.0
6.0,2000000.0,11.0,10.0,278.0,227.37,0.0,2000000.0,1.0
7.0,2000000.0,12.0,11.0,282.0,233.66,0.0,2000000.0,1.0
8.0,2000000.0,13.0,12.0,305.0,236.97,0.0,2000000.0,1.0
9.0,2000000.0,14.0,13.0,314.0,241.23,0.0,2000000.0,1.0
10.0,2000000.0,15.0,14.0,295.0,225.24,0.0,2000000.0,1.0
11.0,2000000.0,16.0,15.0,247.0,228.23,0.0,2000000.0,1.0
12.0,2000000.0,17.0,16.0,250.0,232.15,0.0,2000000.0,1.0
13.0,2000000.0,18.0,17.0,285.0,226.32,0.0,2000000.0,1.0
14.0,2000000.0,19.0,18.0,285.0,228.18,0.0,2000000.0,1.0
15.0,2000000.0,20.0,19.0,308.0,235.02,0.0,2000000.0,1.0
16.0,2000000.0,21.0,20.0,258.0,229.41,0.0,2000000.0,1.0
17.0,2000000.0,22.0,21.0,311.0,235.3,0.0,2000000.0,1.0
18.0,2000000.0,23.0,22.0,292.0,223.06,0.0,2000000.0,1.0
19.0,2000000.0,24.0,23.0,300.0,237.74,0.0,2000000.0,1.0
