time,state,frames,resident_count,last_load_ms,last_draw_ms,last_upload_batch_ms
20:13:30.122,ready,7,32768,7.0,0.3,1.4
20:13:30.622,ready,7,32768,7.0,0.3,1.4
20:13:31.157,loading,8,32768,7.0,2.9,1.4
20:13:31.623,ready,22,721044,517.0,4.9,0.4
20:13:32.156,ready,22,721044,517.0,4.9,0.4
20:13:32.667,loading,23,721044,517.0,3.3,0.4
20:13:33.158,loading,23,721044,856.0,3.3,0.4
20:13:33.675,loading,38,782207,856.0,1.2,3.0
20:13:34.164,loading,38,782207,856.0,1.2,3.0
20:13:34.691,ready,54,938879,853.0,2.2,2.0
20:13:35.165,ready,61,938879,853.0,1.0,2.0
20:13:35.665,ready,94,938879,853.0,3.5,2.0
20:13:36.261,loading,97,938879,853.0,0.9,2.0
20:13:36.666,loading,97,938879,853.0,0.9,2.0
20:13:37.180,loading,97,938879,853.0,0.9,2.0
20:13:37.668,loading,99,938879,1711.0,1.2,0.8
20:13:38.185,loading,119,1181346,1711.0,1.1,0.6
20:13:38.670,loading,132,1181346,1711.0,17.0,0.6
20:13:39.245,loading,149,1181346,1711.0,0.7,0.6
20:13:39.670,loading,149,1181346,1711.0,0.7,0.6
20:13:40.181,loading,149,1181346,1711.0,0.7,0.6
20:13:40.670,loading,149,1181346,1711.0,0.7,0.6
20:13:41.173,loading,149,1181346,2849.0,0.7,0.6
20:13:41.693,ready,172,1404190,2849.0,2.7,3.0
20:13:42.172,ready,173,1404190,2849.0,2.4,3.0
20:13:42.672,ready,173,1404190,2849.0,2.4,3.0
20:13:43.221,loading,174,1404190,2849.0,2.1,3.0
20:13:43.673,loading,174,1404190,2849.0,2.1,3.0
20:13:44.172,loading,174,1404190,2849.0,2.1,3.0
20:13:44.717,loading,174,1404190,2849.0,2.1,3.0
20:13:45.172,loading,174,1404190,2849.0,2.1,3.0
20:13:45.672,loading,174,1404190,2849.0,2.1,3.0
20:13:46.191,loading,174,1404190,2849.0,2.1,3.0
20:13:46.672,loading,174,1404190,2849.0,2.1,3.0
20:13:47.172,loading,181,1404190,2849.0,20.7,3.0
20:13:47.746,loading,205,1404190,4692.0,18.1,0.6
20:13:48.173,ready,225,1606724,4692.0,7.0,3.5
20:13:48.674,ready,225,1606724,4692.0,7.0,3.5
20:13:49.183,loading,226,1606724,4692.0,3.8,3.5
20:13:49.676,loading,226,1606724,4692.0,3.8,3.5
20:13:50.185,loading,226,1606724,4692.0,3.8,3.5
20:13:50.767,loading,233,1606724,4692.0,16.4,3.5
20:13:51.176,loading,247,1606724,4692.0,8.1,3.5
20:13:51.766,loading,248,1606724,4692.0,0.5,3.5
20:13:52.177,loading,248,1606724,4692.0,0.5,3.5
20:13:52.685,loading,248,1606724,4692.0,0.5,3.5
20:13:53.195,loading,248,1606724,4692.0,0.5,3.5
20:13:53.697,loading,248,1606724,4692.0,0.5,3.5
20:13:54.264,loading,266,1606724,4692.0,2.1,3.5
20:13:54.754,loading,271,1606724,4692.0,0.5,3.5
20:13:55.199,loading,273,1606724,6159.0,3.5,3.7
20:13:55.700,loading,295,1606724,6159.0,17.7,3.7
20:13:56.198,ready,303,1950706,6159.0,8.4,4.7
20:13:56.773,loading,313,1950706,6159.0,1.6,4.7
20:13:57.262,loading,325,1950706,6159.0,8.0,4.7
20:13:57.705,loading,326,1950706,6159.0,0.6,4.7
20:13:58.203,loading,326,1950706,6159.0,0.6,4.7
20:13:58.702,loading,326,1950706,6159.0,0.6,4.7
20:13:59.204,loading,329,1950706,2783.0,51.1,3.9
20:13:59.775,loading,348,1950706,2783.0,29.1,3.2
20:14:00.203,ready,360,2000000,2783.0,29.3,0.4
20:14:00.707,loading,361,2000000,2783.0,3.0,0.4
20:14:01.206,loading,361,2000000,2783.0,3.0,0.4
20:14:01.707,loading,361,2000000,2783.0,3.0,0.4
20:14:02.281,loading,369,2000000,2783.0,1.4,0.4
20:14:02.770,loading,379,2000000,2783.0,5.3,0.4
20:14:03.209,loading,382,2000000,2832.0,0.5,0.6
20:14:03.714,loading,398,2000000,2832.0,24.0,0.8
20:14:04.207,ready,413,2000000,2832.0,39.4,0.6
20:14:04.787,loading,417,2000000,2832.0,10.4,0.6
20:14:05.273,loading,433,2000000,2832.0,5.0,0.6
20:14:05.711,loading,434,2000000,2832.0,0.7,0.6
20:14:06.216,loading,434,2000000,2832.0,0.7,0.6
20:14:06.716,loading,434,2000000,2832.0,0.7,0.6
20:14:07.222,loading,434,2000000,2832.0,0.7,0.6
20:14:07.722,loading,434,2000000,2832.0,0.7,0.6
20:14:08.237,loading,434,2000000,2832.0,0.7,0.6
20:14:08.733,loading,434,2000000,2832.0,0.7,0.6
20:14:09.214,loading,434,2000000,2832.0,0.7,0.6
20:14:09.716,loading,434,2000000,2832.0,0.7,0.6
20:14:10.216,loading,434,2000000,2832.0,0.7,0.6
20:14:10.788,loading,440,2000000,6318.0,28.7,0.6
20:14:11.285,loading,457,2000000,6318.0,26.6,0.9
20:14:11.717,ready,467,2000000,6318.0,27.4,0.9
20:14:12.240,loading,468,2000000,6318.0,2.3,0.9
20:14:12.718,loading,468,2000000,6318.0,2.3,0.9
20:14:13.218,loading,468,2000000,6318.0,2.3,0.9
20:14:13.795,loading,486,2000000,6318.0,3.8,0.9
20:14:14.222,loading,488,2000000,6318.0,0.6,0.9
20:14:14.720,loading,500,2000000,2561.0,19.3,5.0
20:14:15.224,ready,518,2000000,2561.0,20.6,0.6
20:14:15.750,loading,521,2000000,2561.0,17.2,0.6
20:14:16.299,loading,533,2000000,2561.0,27.0,0.6
20:14:16.787,loading,542,2000000,2561.0,2.2,0.6
20:14:17.224,loading,543,2000000,2561.0,0.7,0.6
20:14:17.721,loading,543,2000000,2561.0,0.7,0.6
20:14:18.223,loading,543,2000000,2561.0,0.7,0.6
20:14:18.803,loading,549,2000000,2561.0,1.5,0.6
20:14:19.291,loading,562,2000000,2561.0,4.2,0.6
20:14:19.725,loading,563,2000000,2561.0,0.5,0.6
20:14:20.223,loading,563,2000000,2561.0,0.5,0.6
20:14:20.726,loading,563,2000000,2561.0,0.5,0.6
20:14:21.226,loading,563,2000000,2561.0,0.5,0.6
20:14:21.804,loading,580,2000000,2561.0,2.3,0.6
20:14:22.227,loading,584,2000000,2561.0,0.5,0.6
20:14:22.727,loading,584,2000000,2561.0,0.5,0.6
20:14:23.227,loading,599,2000000,7387.0,28.1,0.8
20:14:23.727,ready,616,2000000,7387.0,2.2,0.7
20:14:24.300,loading,629,2000000,7387.0,26.9,0.7
20:14:24.788,loading,638,2000000,7387.0,0.5,0.7
20:14:25.229,loading,638,2000000,7387.0,0.5,0.7
20:14:25.731,loading,638,2000000,7387.0,0.5,0.7
20:14:26.229,loading,638,2000000,7387.0,0.5,0.7
20:14:26.805,loading,643,2000000,7387.0,9.7,0.7
20:14:27.301,loading,657,2000000,7387.0,2.0,0.7
20:14:27.732,loading,658,2000000,7387.0,0.5,0.7
20:14:28.236,loading,658,2000000,7387.0,0.5,0.7
20:14:28.734,loading,658,2000000,7387.0,0.5,0.7
20:14:29.242,loading,658,2000000,7387.0,0.5,0.7
20:14:29.740,loading,658,2000000,7387.0,0.5,0.7
20:14:30.254,loading,658,2000000,7387.0,0.5,0.7
